127.0.0.1 - - [12/Jun/2022:16:31:40 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:31:41 +0900] "GET /goA HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:31:41 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:32:30 +0900] "GET /goA HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:43:09 +0900] "GET /goB HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:46:21 +0900] "GET /kim HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:46:39 +0900] "GET /kim HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:46:45 +0900] "GET /kim HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:46:50 +0900] "GET /kim HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:04 +0900] "GET /getDate?data1=100&data2=150 HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:10:33 +0900] "GET /getDate?data1=100&data2=150 HTTP/1.1" 404 827
